vegetation,plot_ID,cvdbh,cvheight,dens,rich,sesmpd,clayall,clay20,clay40,clay60,ai,agb,fdis,wd,hm,sla,ldmc,lcc,lnc,soc20,stn20,scn20,soc40,stn40,scn40,soc60,stn60,scn60,socall,stnall,scnall,hmod
Savanna,A01,55.12,44.28,190,8,-1.785149135,2.155121794,2.165607865,2.125410991,2.066422744,1.05916893,-0.42127973,2.757914806,0.569137925,-0.78347596,-0.30944007,2.82961357,-2.111245441,0.286579241,-2.304166845,-2.355364076,-1.404655547,-2.337917742,-2.762310439,-0.888864974,-1.7766017,-1.013950736,-1.603392274,-2.922944617,-2.757994446,-1.71838359,-0.468397436
Savanna,A02,66.15,40.65,230,7,0.576760019,1.039202491,0.901774798,1.043472792,1.190298943,1.111842483,-1.306682769,0.031926224,0.978061318,-0.520884164,0.038729586,0.637487726,0.991992061,-1.272547941,-0.666229823,-0.467269479,-0.292728741,-0.979991292,-0.830851275,-0.280308261,-0.318875512,0.255388783,-0.830750819,-0.935991054,-0.576494204,-0.597645598,0.30040925
Savanna,A04,40.75,29.65,530,3,-1.762825036,0.829295185,0.621173191,0.825692946,0.937703404,1.087386905,-0.844477193,-1.725777616,1.904433365,-1.244610513,-1.257349194,0.107631834,1.95817696,-0.122266592,-0.131590616,0.162106215,-0.612247938,-0.386873208,0.038671126,-0.609264065,-0.093238909,0.709064993,-1.097282174,-0.307114107,0.214398608,-0.923293996,-0.296171916
Forest,A05,32.32,55.43,60,5,-1.797986106,0.322481815,0.676739399,0.223362085,-0.071602223,1.044119343,-1.391602637,1.100306449,0.353448742,0.636098506,0.027126486,0.20327264,-1.15438619,0.102035605,0.215685034,0.705891157,-1.221464541,0.557781219,0.436874765,0.268190654,0.327834357,0.457420233,-0.222819752,0.352513551,0.60983716,-0.606103998,-1.136514828
Parkland,A13,32.16,31.56,100,3,0.402268632,0.758379458,0.928208635,0.696672039,0.478247748,1.113723681,-0.441512807,-1.19952529,1.373449014,-0.659814282,-0.85969602,0.158308509,0.614468121,-1.295881173,-0.642276499,-0.663052917,0.3803917,0.040545966,-0.062962913,0.345854191,0.01543674,0.845641122,-1.142203189,-0.498140172,-0.210316591,-0.466540399,-0.51476563
Savanna,B01,48.93,31.08,250,11,-1.036501197,1.677411851,1.426169012,1.704749025,1.769603808,1.052584735,-1.796698433,-0.319429449,0.676501737,-1.236182791,-0.596027858,1.044041086,0.825635504,-0.375900841,-0.056926838,-0.169655129,0.593404499,0.261407852,0.134953465,0.373612887,0.846009532,0.635933589,0.190453585,0.203736872,0.016043249,0.408903995,-0.467402692
Savanna,B02,106.85,38.77,140,5,-2.366462011,2.155121794,1.947147032,2.166133651,2.346539502,1.094911698,-0.262405852,1.003270031,-1.764293013,-0.431928566,0.857269191,-1.302027413,-0.9055215,-0.101184087,-1.361443742,-0.612027993,-1.890324727,-0.703190107,0.063221052,-1.232819914,-0.651790308,-0.671320677,0.049701072,-1.42175763,-0.665792089,-1.396964393,-0.474198651
Savanna,B03,33.41,31.93,250,10,-1.226423881,1.413422326,1.170030742,1.416428227,1.505246806,0.999911182,-1.726185117,-0.061935348,0.649505182,-1.244798688,-0.87032584,1.264061445,0.30761091,-0.613579403,-0.22669219,-0.019757235,-0.343851813,0.946703289,0.812903868,0.126264431,1.251810213,0.539331345,1.043952866,0.450169965,0.307215325,0.188985596,-0.48133121
Savanna,B04,43.2,31.81,110,3,-1.4938779,1.312682898,1.110672757,1.295827265,1.29231717,0.965109013,-1.26147714,-1.746464899,1.939360164,-1.63070902,-1.646448249,0.226388536,2.20223135,0.086027666,-2.258141924,-2.496258183,-0.825260736,-1.55932945,-1.180280235,-1.012688017,-1.199009953,-1.069792135,-0.402503811,-2.464366791,-2.350399532,-1.037482395,-0.50618251
Savanna,B05,56.21,30.68,270,11,-1.892809819,1.677411851,1.092994276,1.728444182,2.236228129,1.074218516,-1.190066708,2.308610679,0.487717217,-1.502963608,-0.443846946,2.31590289,-1.276855812,-0.181819656,-0.177743514,0.336733395,-1.153300445,0.695803371,0.907525419,-0.420261824,-0.510153109,0.231207665,-1.043376956,-0.063977348,0.463755229,-0.982502796,-0.957566265
Savanna,B06,39.33,27.28,330,8,0.580942907,1.903060688,1.776145551,1.897918991,1.856610719,0.940653434,-1.501616403,1.396933619,0.168878969,-2.216540343,0.438111213,-0.616732518,1.281690079,1.269389839,0.129525232,0.375421472,-0.569645379,1.214567066,1.460379623,-0.695082713,-0.72752384,-0.063435074,-0.971503332,0.308383559,0.660126603,-0.771042797,-1.274151589
Savanna,B09,32.34,16.12,140,3,-4.889957797,1.742381189,1.705139363,1.721679249,1.604974307,1.210605396,-2.154371487,0.103863985,0.698596717,-2.076116922,-2.231861976,2.251949426,-0.752463752,-0.218203521,-0.459973789,0.183572781,-1.417436315,-0.188350149,0.713118646,-1.380323985,0.2434752,0.955927328,-1.034392753,-0.390961931,0.529236142,-1.557673991,-0.603863288
Savanna,B13,68.84,42.05,130,4,0.405481249,2.217199304,2.377242196,2.177509523,1.538569345,1.214367793,-1.196482604,0.736227969,0.163888344,-0.754120386,-0.964167374,-0.082355544,-0.310970201,-0.177396431,-1.130845263,-1.068829107,-0.079715943,-0.682877087,0.063221052,-1.193596869,0.02171949,0.955927328,-1.24701889,-1.069182056,-0.277115504,-1.367359993,-0.986210717
Forest,B14,60.09,37.71,130,4,0.648689367,2.309630212,2.408847727,2.266491742,1.845764769,1.340408081,-0.62220343,-1.159679488,-0.260445548,0.462133066,-0.443829317,2.015490786,-0.578932951,0.560812062,0.180420155,4.433292875,-4.817120572,0.263647178,4.257365514,-4.610347238,-0.920742597,1.207748853,-2.136454983,-0.037940748,4.864889186,-4.277049572,-0.921467115
Savanna,D01,57.72,41.84,580,6,0.106233356,0.322481815,-0.088629553,0.288919025,0.768659136,0.793919964,-0.127208562,-0.129820597,0.08175902,-0.493850017,-1.246832937,1.192335511,-0.835600824,0.660929702,-0.040879724,-0.068318566,0.282405813,0.094567012,0.038671126,0.25881521,-0.336397334,0.414765567,-1.031398019,-0.143691459,-0.036489159,-0.153579601,-1.434286392
Savanna,D02,66.06,49.83,420,14,0.109493809,1.806949478,1.357438117,1.896253525,2.146278906,0.586988147,-0.133815698,0.848864237,-0.327117953,-0.354283295,-0.517831773,0.56471552,-0.40990015,0.237512472,0.587761226,0.477627501,0.197200694,0.101559774,0.456647304,-0.50358419,-0.152280294,0.255388783,-0.603151011,0.369500144,0.402476869,-0.162038001,-1.449814114
Savanna,D03,53.68,33.09,530,13,0.619752672,1.612036452,1.581822409,1.535744889,1.632549131,0.348075958,-0.060008269,-0.208720553,0.877838609,-0.870635786,-0.301991652,0.100438047,1.139927209,-0.694392754,0.828814348,0.413277482,0.985348047,1.638560661,0.860826489,1.047779364,1.681406608,0.861889625,0.942131899,1.501308373,0.676636073,1.170159989,-1.412917305
Savanna,D09,86.14,63.38,500,16,0.467347101,0.02145299,-0.173766269,-0.022984772,0.248752047,0.50421542,0.161146576,-0.003224224,0.209532482,-0.244022207,-0.240961201,-0.506934927,-0.332258704,-0.010340049,0.227708874,0.346485423,-0.26290695,-1.390852059,-1.438304818,-0.110184659,-0.973758675,-1.455677709,0.837316198,-0.484710874,-0.481370764,0.142464396,-1.399688529
Savanna,D10,59.11,46.91,470,7,-0.788022051,0.542701101,0.835659871,0.384634799,0.615323707,0.114807364,-0.391974246,-0.227184772,-0.162403632,0.216947853,-0.381219644,0.916929462,0.371914509,0.020214741,0.489827948,-0.031772549,1.701071048,-1.100288716,-1.180280235,0.151701543,-0.469399726,-0.35524118,-0.123993519,-0.099420085,-0.55713572,1.199764389,-1.437378909
Savanna,D11,45.16,43.32,370,9,0.768210858,0.651096161,0.502403401,0.603596073,0.995518297,0.020747447,-1.273847085,0.285963035,-0.134944772,-0.200148834,-0.181735868,0.463434267,0.504976332,-0.583704919,0.64645158,0.256708858,1.091854446,-0.677096717,-1.27916605,1.363160003,-0.012983175,-0.715830148,1.753704901,0.229910665,-0.417162964,1.593079986,-1.404301138
Savanna,D12,94.2,88.66,230,6,0.766731492,0.542701101,0.495216828,0.483319356,0.809652671,-0.218164742,0.576820182,0.053884598,1.150035161,1.421368412,-0.585887548,0.373247732,0.298692987,0.418976379,-0.617243209,-0.277183922,-0.697453058,-0.735372105,-0.255661193,-0.745687158,-0.382442516,0.325727917,-0.986477004,-0.843159265,-0.285610639,-0.961356796,-1.393888547
Parkland,E01,74.38,35.51,80,7,-0.521350137,-0.979312549,-1.056561385,-0.941252583,-0.906570937,1.0930305,-1.909344943,1.189705189,-2.190821908,1.07693589,0.53383863,-1.292122666,0.760581514,1.52928705,0.691797653,1.08913601,-1.251286332,-0.300459386,0.134953465,-0.623486996,-0.894668417,-0.58599488,-0.576198402,0.191331828,0.637918347,-0.902147996,1.122886584
Parkland,E02,75.77,61.4,60,3,0.352092543,-0.486984987,-0.507893326,-0.480948136,-0.502056763,0.958524819,-0.514561069,-0.291343344,-0.281855596,0.991179526,1.780733583,-0.325657544,1.774596147,0.036243885,0.848075079,0.857729775,-0.369413349,1.732147345,2.167550638,-1.288184463,0.07156301,1.307651999,-1.534513385,1.161360485,1.594437365,-1.270088394,1.537525338
Parkland,E03,56.58,27.52,30,3,-0.240105041,-1.021405281,-0.829947667,-1.025245748,-1.106638226,0.869167897,-1.172161968,-0.400846624,-1.253462527,-1.306650121,0.246349307,-1.059342385,-1.372749503,-1.783470618,-0.793891943,-0.451896136,-0.718754337,2.594515098,0.270492653,4.052411677,-0.555295439,0.022688576,-0.854708694,0.380089916,-0.302700526,1.631142786,1.543025081
Parkland,E04,134.77,32.69,150,3,0.124608233,-1.674009596,-1.37084136,-1.558732253,-1.717808056,0.793919964,-0.376120397,-0.781452351,-2.541042929,-0.299049911,1.666401931,-1.588644585,-1.529459436,0.219391991,-1.062703879,-0.277183922,-1.805119607,-0.145926357,0.812903868,-1.478107781,-0.073796787,1.072972102,-1.450660824,-0.865032996,0.390012479,-2.005969188,1.552335197
Parkland,E07,74.12,43.5,100,4,1.004964618,0.506318352,0.473615547,0.558643474,0.273089771,0.763820791,-0.531794084,-1.143174515,0.92531018,-1.935255885,1.766889563,-0.227599843,1.539646192,1.785859456,-0.898117706,-0.612027993,-0.578165891,-0.597226335,-0.406899551,-0.219777379,1.093014437,1.233340599,-0.531277387,-0.536970643,-0.067083986,-0.804876397,1.532147073
Parkland,E08,56.2,42.61,70,3,0.717550271,-0.527138701,-0.575811995,-0.452155556,-0.787906416,0.7534742,-0.655046634,0.320767293,0.18220625,0.654935066,0.821347631,0.079002478,0.738000433,-0.57047663,-2.311545529,-2.817187266,-0.292728741,-0.497271179,-0.438708041,0.081529705,0.692087054,1.220598043,-0.908613911,-1.411243478,-0.769484223,-1.215108794,1.529696075
Parkland,E09,41.46,53.35,50,4,0.224896608,0.135356436,0.323085459,0.229161975,-0.177965243,1.154169446,-1.97714056,0.535398768,-2.317968226,2.358397294,0.712416164,-1.1066448,0.337986499,1.006818184,-0.704400353,0.062129001,-1.677311929,0.411046968,1.151746601,-1.224954003,0.746622057,1.542617467,-1.235039953,-0.194666188,0.88063632,-1.80296759,1.055193511
Parkland,E10,78.81,39.81,60,3,-1.401407242,0.615089139,0.562815993,0.601726645,0.273089771,1.097733496,0.598520415,-1.816470679,-2.915620247,-0.357956957,1.55848515,-1.859781214,-1.967769254,0.05621607,0.426216709,0.307148889,0.316487861,0.952473951,0.713118646,0.327289991,0.762069796,0.672934638,0.010769525,0.743228222,0.499714851,0.260881996,-0.359005646
Savanna,E11,30.14,39.53,90,3,0.089470559,1.413422326,1.056770328,1.497839694,1.269711456,0.961346616,-1.047128903,-0.61019117,1.547676596,-0.861440948,-1.135656448,-0.489790425,1.316429204,0.112692585,-2.065287221,-2.143030273,-0.825260736,-1.500577096,-1.438304818,-0.406477093,-0.813886513,-0.80891739,0.010769525,-2.20475258,-2.182047684,-0.597645598,-0.535899422
Savanna,E12,45.76,38.9,240,11,-0.142609708,0.210608773,-0.432441612,0.196256164,0.797952637,1.002732979,-0.864556284,-0.134396906,0.891604512,-0.254802762,0.032779215,-1.318999755,-0.104986144,0.390885642,0.068659753,0.413277482,-0.799699201,0.593201162,0.876525659,-0.500091107,-2.31986008,-3.659205852,0.016758994,-0.179711009,0.117468441,-0.534207599,-0.605033386
Forest,E13,58.48,34.51,490,14,0.0516005,-0.607911533,-0.786196678,-0.621860033,-0.553591515,1.093971099,-0.054464787,3.840818294,-0.764487343,-2.57705347,0.413127364,3.793560958,-2.439798882,0.945833236,0.15708502,0.073522158,0.3803917,0.938998419,1.460379623,-1.039284043,0.736290912,0.617093239,0.073658946,0.548868037,0.665643615,-0.4115608,0.60708263
Parkland,E14,48.47,9.81,20,2,0.260076141,0.506318352,0.115861725,0.537979771,0.897088563,1.137238661,-2.246510544,-0.938518795,-0.904753473,1.163509825,-0.216950221,0.112824397,-1.432503054,-0.039797159,0.252650543,0.468577421,-0.561124867,1.577556997,1.026522962,0.592030737,0.943082649,0.691106084,0.214411459,0.900477091,0.720061706,0.032505197,-0.481986175
Savanna,E15,49.9,45.26,280,11,-0.432494435,1.073781133,0.728024543,0.976774252,1.438359676,1.095852297,-0.618773376,0.891975512,0.446020674,-0.593718227,0.022866851,-0.633777004,0.028895469,-0.676058671,0.571120169,0.539707771,-0.045633896,-0.494536248,0.111353885,-0.907464343,-0.683413341,0.654545565,-1.636334352,0.077596881,0.463755229,-0.762584397,-0.52440626
Parkland,F02,71.01,27.49,90,3,1.258465742,-0.689312953,-0.587807663,-0.571923815,-1.053003071,0.872930294,1.071382429,-0.007591629,-2.087520321,0.243301635,1.43042673,-2.128265917,-1.542740895,0.145096933,0.713410334,0.893727689,-0.727274849,0.177693173,0.181258269,0.151701543,-0.182217052,-0.505162047,0.789400449,0.483494702,0.487793871,-0.145121202,1.523282996
Parkland,F03,93.25,54.85,60,4,1.315134606,-0.249246805,0.040680786,-0.218404069,-0.657241241,0.842831121,0.495803916,-0.405788132,-2.351151906,0.01230292,1.37355957,-1.804587694,-1.847763339,-0.013349823,-0.106545485,0.084842047,-0.348112069,-1.292806216,-1.229054914,-0.249974993,0.105410208,0.231207665,-0.162925065,-0.481359681,-0.294138893,-0.255080401,1.557409552
Parkland,F04,44.09,30.39,60,4,-0.50285234,-0.288496493,-0.057596844,-0.240553168,-0.585898612,0.918079054,-0.483565421,0.750079973,-1.137850162,0.294783358,-0.157460865,-0.911163692,-0.508739012,-0.495003814,-1.02708488,-0.467269479,-1.323710684,-1.250384679,-0.791517671,-0.963606151,0.181120274,0.617093239,-0.660050963,-1.122351811,-0.417162964,-1.248942394,1.54959273
Savanna,F05,46.63,33.6,70,4,0.651836051,0.097526269,0.066107275,0.055808945,-0.096555258,0.947237629,-0.42127973,1.447947927,-0.201841699,0.358196824,0.295491316,-1.02990224,0.296133856,-0.89373148,0.439583152,0.422615629,0.00122892,0.488213008,0.355575066,0.317990236,0.805524573,0.77887107,-0.120998785,0.610784331,0.493762482,0.053651197,1.539018927
Parkland,F07,42.33,65.13,50,3,-1.084518868,0.173050277,0.774343934,-0.028916698,-0.946353324,1.033772752,-0.062285754,-1.696004725,-1.193525761,-1.604677272,0.46312663,-1.884362987,-2.653295508,-0.73387588,1.481621402,1.435392676,-0.765617153,-0.682877087,-0.406899551,-0.389286586,0.16309978,0.971055226,-1.124234783,0.946020734,1.1526666,-0.771042797,0.651054572
Savanna,F08,54.69,35.8,130,3,0.618797625,1.413422326,1.486581454,1.365898915,1.030091475,1.051644136,0.222545289,-1.262888375,-0.194980062,0.86734692,-0.625940421,1.912858209,-0.706772411,0.853366028,-0.780770203,-0.209212673,-1.268327356,0.669347336,0.607573476,0.126264431,0.825816425,0.744364691,-0.052119895,-0.12034145,0.200811643,-0.584957998,0.331600132
